Month,Year,Temperature
October,1969,11.3
November,1969,14.5
December,1969,17.4
January,1970,19
February,1970,17
March,1970,17.2
April,1970,14.1
May,1970,9
June,1970,7.8
July,1970,7.8
August,1970,8.2
September,1970,10.8
October,1970,12.8
November,1970,14.9
December,1970,17.1
January,1971,18.3
February,1971,18.5
March,1971,16.1
April,1971,13.3
May,1971,11.1
June,1971,9.8
July,1971,6.4
August,1971,8.5
September,1971,10
October,1971,12.2
November,1971,14
December,1971,16.7
January,1972,17.3
February,1972,16.5
March,1972,17
April,1972,13.6
May,1972,9.6
June,1972,5.4
July,1972,6.7
August,1972,6
September,1972,11.1
October,1972,12.9
November,1972,15.4
December,1972,14.9
January,1973,17.6
February,1973,18.1
March,1973,16
April,1973,13.2
May,1973,10
June,1973,7.7
July,1973,6.3
August,1973,8
September,1973,10.7
October,1973,12.4
November,1973,15
December,1973,16.9
January,1974,17.2
February,1974,18.7
March,1974,14.7
April,1974,14.1
May,1974,10.6
June,1974,7.5
July,1974,6.7
August,1974,7.9
September,1974,10.9
October,1974,12.4
November,1974,15.1
December,1974,17.9
January,1975,19.2
February,1975,18.4
March,1975,17.2
April,1975,13.9
May,1975,10.6
June,1975,7
July,1975,5.9
August,1975,8.1
September,1975,10.1
October,1975,12.1
November,1975,13.8
December,1975,15.5
January,1976,17.3
February,1976,15.1
March,1976,15.2
April,1976,12.7
May,1976,9.3
June,1976,6.9
July,1976,6.6
August,1976,8
September,1976,9.8
October,1976,11.3
November,1976,12.5
December,1976,16
January,1977,16.3
February,1977,16.9
March,1977,16.7
April,1977,13.2
May,1977,8
June,1977,7.5
July,1977,7.5
August,1977,8
September,1977,8.1
October,1977,11.4
November,1977,13.2
December,1977,15
January,1978,17.9
February,1978,18.5
March,1978,16.5
April,1978,15.7
May,1978,10.1
June,1978,7.5
July,1978,7.9
August,1978,7.9
September,1978,10.2
October,1978,11.6
November,1978,14.1
December,1978,15.9
January,1979,18.4
February,1979,16.8
March,1979,17.1
April,1979,12.2
May,1979,9.6
June,1979,8.1
July,1979,7.2
August,1979,7.8
September,1979,10.9
October,1979,12.6
November,1979,14.7
December,1979,15.9
January,1980,17.1
February,1980,16.8
March,1980,15
April,1980,12.7
May,1980,10.4
